|Comparison_1|Comparison_2|Label_predict
49|petnutritioncenter_121|petsupplies_096|True
50|megapet_086|cheshirepetsupplies_093|True
51|cheshirepetsupplies_093|mypetwarehouse_130|True
52|countrymax_115|healthypetcenter_304|False
53|petnutritioncenter_222|roguevalleypet_173|True
54|hardwarestore_050|horseandhound_145|False
55|speckspets_006|healthypetcenter_110|False
56|petnutritioncenter_035|roguevalleypet_030|True
57|countrymax_026|healthypetcenter_100|True
58|horseandhound_004|roguevalleypet_028|True
59|roguevalleypet_045|speckspets_032|False
60|countrymax_041|healthypetcenter_117|True
61|petsense_030|countrymax_012|True
62|speckspets_033|countrymax_043|False
63|roguevalleypet_046|concordpetfoods_095|True
64|petco_065|petsense_025|True
65|concordpetfoods_146|dog_030|False
66|roguevalleypet_033|countrymax_028|True
67|countrymax_025|roguevalleypet_034|True
68|countrymax_053|healthypetcenter_152|True
69|petnutritioncenter_223|countrymax_118|False
70|healthypetcenter_310|hardwarestore_048|False
71|healthypetcenter_099|countrymax_020|False
72|petsense_064|roguevalleypet_164|True
73|countrymax_101|concordpetfoods_158|True
74|horseandhound_117|roguevalleypet_153|True
75|petsense_060|countrymax_101|True
76|countrymax_049|concordpetfoods_076|True
77|petnutritioncenter_203|horseandhound_091|True
78|petnutritioncenter_110|countrymax_024|True
79|horseandhound_005|roguevalleypet_031|True
80|petnutritioncenter_225|petsense_001|True
81|roguevalleypet_131|horseandhound_089|True
82|countrymax_098|petnutritioncenter_202|True
83|petco_018|countrymax_023|True
84|petsupplies_095|petfood_020|True
85|petsense_063|petnutritioncenter_192|True
86|countrymax_094|roguevalleypet_116|True
87|dog_140|petsupplies_015|True
88|petnutritioncenter_002|countrymax_003|True
89|bigdogworld_001|mypetwarehouse_075|True
90|miscota_063|megapet_051|False
91|speckspets_045|countrymax_052|False
92|petfood_063|petsupplies_134|True
93|healthypetcenter_112|countrymax_037|True
94|horseandhound_012|healthypetcenter_158|True
95|petnutritioncenter_143|countrymax_055|True
96|concordpetfoods_081|healthypetcenter_003|True
97|roguevalleypet_003|petsense_049|True
98|bibita_029|concordpetfoods_156|False
99|bibita_032|megapet_089|False
100|bibita_050|horseandhound_128|False
101|bibita_051|horseandhound_128|False
102|bibita_053|cheshirepetsupplies_046|False
103|bibita_056|mypetwarehouse_107|False
104|bibita_068|bibita_111|True
105|bibita_069|megapet_070|False
106|bigdogworld_001|cheshirepetsupplies_111|False
107|bigdogworld_002|mypetwarehouse_113|False
108|bigdogworld_007|mypetwarehouse_075|False
109|bigdogworld_008|cheshirepetsupplies_111|False
110|bigdogworld_009|cheshirepetsupplies_111|False
111|bigdogworld_010|mypetwarehouse_075|False
112|bigdogworld_017|concordpetfoods_152|False
113|bigdogworld_020|concordpetfoods_057|False
114|bigdogworld_023|mypetwarehouse_193|False
115|bigdogworld_024|concordpetfoods_055|False
116|bigdogworld_026|concordpetfoods_056|False
117|bigdogworld_029|concordpetfoods_056|False
118|cheshirepetsupplies_012|miscota_140|True
119|cheshirepetsupplies_028|horseandhound_128|False
120|cheshirepetsupplies_046|miscota_075|False
121|cheshirepetsupplies_049|cheshirepetsupplies_111|False
122|cheshirepetsupplies_056|cheshirepetsupplies_111|False
123|cheshirepetsupplies_060|cheshirepetsupplies_111|False
124|cheshirepetsupplies_061|countrymax_092|False
125|cheshirepetsupplies_064|horseandhound_128|False
126|cheshirepetsupplies_075|megapet_076|False
127|cheshirepetsupplies_082|countrymax_101|False
128|cheshirepetsupplies_085|cheshirepetsupplies_111|False
129|cheshirepetsupplies_089|countrymax_101|False
130|cheshirepetsupplies_096|healthypetcenter_298|False
131|cheshirepetsupplies_111|cheshirepetsupplies_113|False
132|cheshirepetsupplies_112|horseandhound_128|False
133|cheshirepetsupplies_113|countrymax_092|False
134|concordpetfoods_052|concordpetfoods_093|False
135|concordpetfoods_053|concordpetfoods_088|False
136|concordpetfoods_055|healthypetcenter_308|False
137|concordpetfoods_056|healthypetcenter_311|False
138|concordpetfoods_057|countrymax_118|False
139|countrymax_003|countrymax_013|False
140|countrymax_012|speckspets_006|False
141|countrymax_013|countrymax_036|False
142|countrymax_020|dog_016|False
143|countrymax_023|countrymax_028|False
144|countrymax_024|countrymax_049|False
145|countrymax_025|countrymax_039|False
146|countrymax_026|countrymax_031|False
147|countrymax_028|petco_018|False
148|dog_030|healthypetcenter_259|False
149|dog_077|horseandhound_112|False
150|dog_078|horseandhound_117|False
151|dog_087|healthypetcenter_156|False
152|dog_101|horseandhound_117|False
153|dog_105|petfood_012|False
154|dog_115|healthypetcenter_106|False
155|dog_131|healthypetcenter_106|False
156|dog_140|petfood_012|False
157|hardwarestore_048|mypetwarehouse_193|False
158|hardwarestore_050|mypetwarehouse_193|False
159|healthypetcenter_003|healthypetcenter_180|False
160|healthypetcenter_068|healthypetcenter_102|False
161|healthypetcenter_076|healthypetcenter_110|False
162|healthypetcenter_098|healthypetcenter_180|False
163|healthypetcenter_108|petsense_011|False
164|healthypetcenter_109|petsense_011|False
165|healthypetcenter_110|healthypetcenter_180|False
166|healthypetcenter_111|petfood_012|False
167|horseandhound_002|petnutritioncenter_046|False
168|horseandhound_003|petco_011|False
169|horseandhound_004|petco_011|False
170|horseandhound_005|petnutritioncenter_141|False
171|horseandhound_006|petsense_011|False
172|horseandhound_007|petfood_012|False
173|horseandhound_008|petsense_011|False
174|horseandhound_009|petco_011|False
175|horseandhound_010|horseandhound_112|False
176|horseandhound_011|petco_002|False
177|horseandhound_012|petnutritioncenter_110|False
178|horseandhound_046|petsense_011|False
179|horseandhound_049|petnutritioncenter_108|False
180|horseandhound_050|petsense_011|False
181|horseandhound_065|miscota_268|False
182|horseandhound_067|mypetwarehouse_075|False
183|horseandhound_070|miscota_268|False
184|horseandhound_074|mypetwarehouse_156|False
185|megapet_051|miscota_075|False
186|megapet_052|miscota_102|False
187|megapet_071|miscota_014|False
188|megapet_074|mypetwarehouse_071|False
189|megapet_076|miscota_339|False
190|megapet_077|miscota_339|True
191|megapet_080|miscota_028|False
192|megapet_082|miscota_014|False
193|megapet_086|miscota_028|False
194|megapet_088|miscota_028|False
195|megapet_089|miscota_102|False
196|miscota_009|mypetwarehouse_173|False
197|miscota_014|miscota_075|False
198|miscota_016|miscota_075|False
199|miscota_028|miscota_063|False
200|miscota_030|miscota_063|False
201|miscota_044|mypetwarehouse_166|False
202|miscota_045|mypetwarehouse_166|False
203|miscota_063|miscota_164|False
204|miscota_075|miscota_102|False
205|miscota_161|miscota_196|False
206|miscota_163|miscota_196|False
207|miscota_164|mypetwarehouse_083|False
208|miscota_165|mypetwarehouse_083|False
209|miscota_196|miscota_234|False
210|miscota_206|petnutritioncenter_215|False
211|miscota_234|miscota_335|False
212|miscota_235|miscota_335|False
213|miscota_239|miscota_335|False
214|miscota_331|mypetwarehouse_166|False
215|miscota_332|mypetwarehouse_166|False
216|mypetwarehouse_071|mypetwarehouse_072|False
217|mypetwarehouse_072|mypetwarehouse_087|False
218|mypetwarehouse_075|mypetwarehouse_156|False
219|mypetwarehouse_077|mypetwarehouse_113|False
220|mypetwarehouse_083|petnutritioncenter_214|False
221|mypetwarehouse_195|petnutritioncenter_221|False
222|mypetwarehouse_196|petnutritioncenter_221|False
223|mypetwarehouse_197|petnutritioncenter_221|False
224|petco_002|petnutritioncenter_133|False
225|petco_011|petnutritioncenter_015|False
226|petco_018|petnutritioncenter_002|False
227|petco_065|petsense_010|True
228|petfood_012|petnutritioncenter_113|False
229|petfood_020|petnutritioncenter_119|False
230|petfood_022|petnutritioncenter_117|False
231|petfood_023|petnutritioncenter_141|False
232|petfood_030|petsense_021|False
233|petfood_059|petnutritioncenter_113|False
234|petfood_063|petsupplies_050|False
235|petfood_073|petsupplies_050|False
236|petfood_076|petnutritioncenter_113|False
237|petfood_103|petsense_010|False
238|petnutritioncenter_002|petnutritioncenter_135|False
239|petnutritioncenter_015|petnutritioncenter_046|False
240|petnutritioncenter_030|petnutritioncenter_116|False
241|petnutritioncenter_035|petnutritioncenter_089|False
242|petnutritioncenter_046|petnutritioncenter_106|False
243|petnutritioncenter_089|petnutritioncenter_120|False
244|petnutritioncenter_106|roguevalleypet_072|False
245|petnutritioncenter_107|roguevalleypet_072|False
246|petnutritioncenter_108|roguevalleypet_072|False
247|petnutritioncenter_110|petnutritioncenter_141|False
248|petnutritioncenter_111|petsense_011|False
249|petnutritioncenter_112|petnutritioncenter_145|False
250|petnutritioncenter_113|petsupplies_034|False
251|petnutritioncenter_114|petsense_011|False
252|petnutritioncenter_115|petsense_011|False
253|petnutritioncenter_116|roguevalleypet_072|False
254|petnutritioncenter_117|petsupplies_050|False
255|petsense_001|petsense_046|False
256|petsense_002|petsense_013|False
257|petsense_010|petsense_011|False
258|petsense_011|petsense_021|False
259|petsense_013|petsense_068|False
260|petsense_021|petsupplies_002|False
261|petsense_024|roguevalleypet_176|False
262|petsense_025|petsense_029|False
263|petsense_028|petsense_029|False
264|petsense_029|petsense_044|False
265|petsense_030|roguevalleypet_072|False
266|petsense_034|petsense_039|False
267|petsense_035|petsense_049|False
268|petsense_036|petsupplies_095|False
269|petsense_037|petsupplies_034|False
270|petsense_038|roguevalleypet_072|False
271|petsense_039|roguevalleypet_057|False
272|petsense_040|petsupplies_034|False
273|petsense_041|roguevalleypet_063|False
274|petsupplies_002|roguevalleypet_092|False
275|petsupplies_015|petsupplies_050|False
276|petsupplies_020|roguevalleypet_088|False
277|petsupplies_034|roguevalleypet_034|False
278|petsupplies_050|roguevalleypet_034|False
279|petsupplies_095|roguevalleypet_041|False
280|petsupplies_096|roguevalleypet_039|False
281|petsupplies_105|roguevalleypet_060|False
282|petsupplies_127|roguevalleypet_034|False
283|petsupplies_134|roguevalleypet_026|False
284|roguevalleypet_003|roguevalleypet_072|False
285|roguevalleypet_020|roguevalleypet_030|False
286|roguevalleypet_022|roguevalleypet_038|False
287|roguevalleypet_026|roguevalleypet_072|False
288|roguevalleypet_027|roguevalleypet_072|False
289|roguevalleypet_028|roguevalleypet_072|False
290|roguevalleypet_030|roguevalleypet_055|False
291|roguevalleypet_031|roguevalleypet_060|False
292|roguevalleypet_032|roguevalleypet_057|False
293|roguevalleypet_174|roguevalleypet_176|False
294|roguevalleypet_175|roguevalleypet_178|False
295|roguevalleypet_176|roguevalleypet_177|False
296|roguevalleypet_177|roguevalleypet_179|False
297|roguevalleypet_178|roguevalleypet_179|False
298|roguevalleypet_179|roguevalleypet_180|True
299|speckspets_006|speckspets_032|True
300|speckspets_010|speckspets_011|False
301|speckspets_011|speckspets_032|True
302|speckspets_032|speckspets_033|True
303|speckspets_045|speckspets_048|False
304|roguevalleypet_133|roguevalleypet_134|False
305|roguevalleypet_134|roguevalleypet_163|False
306|roguevalleypet_149|roguevalleypet_162|False
307|roguevalleypet_153|roguevalleypet_162|False
308|roguevalleypet_162|roguevalleypet_163|False
309|roguevalleypet_163|roguevalleypet_164|True
310|roguevalleypet_172|roguevalleypet_178|False
311|roguevalleypet_173|roguevalleypet_176|False
312|bibita_377|cheshirepetsupplies_046|False
313|bibita_380|bigdogworld_001|False
314|bibita_381|bibita_390|False
315|bibita_382|miscota_131|True
316|bibita_386|bigdogworld_023|False
317|bibita_390|megapet_051|False
318|bibita_391|bigdogworld_023|False
319|concordpetfoods_146|healthypetcenter_114|False
320|concordpetfoods_152|healthypetcenter_292|False
321|concordpetfoods_156|miscota_164|False
322|concordpetfoods_158|countrymax_103|False
323|countrymax_094|mypetwarehouse_071|False
324|countrymax_095|megapet_051|False
325|countrymax_098|miscota_164|False
326|countrymax_101|megapet_051|False
327|countrymax_103|healthypetcenter_298|False
328|countrymax_104|healthypetcenter_298|False
329|countrymax_108|mypetwarehouse_193|False
330|countrymax_115|healthypetcenter_303|False
331|countrymax_117|mypetwarehouse_195|False
332|countrymax_118|healthypetcenter_306|False
333|healthypetcenter_306|mypetwarehouse_173|False
334|healthypetcenter_311|healthypetcenter_312|False
335|healthypetcenter_312|horseandhound_144|False
336|healthypetcenter_313|mypetwarehouse_173|False
337|healthypetcenter_315|horseandhound_142|False
338|healthypetcenter_316|mypetwarehouse_173|False
339|horseandhound_112|petnutritioncenter_119|False
340|horseandhound_117|petfood_022|False
341|horseandhound_127|petnutritioncenter_116|False
342|horseandhound_128|miscota_028|False
343|horseandhound_129|miscota_014|False
344|horseandhound_138|horseandhound_144|False
345|petnutritioncenter_133|petsense_029|False
346|petnutritioncenter_135|petnutritioncenter_165|False
347|petnutritioncenter_137|petsense_029|False
348|bibita_118|megapet_105|False
349|bibita_118|bigdogworld_024|False
350|bibita_118|miscota_331|False
351|bibita_118|mypetwarehouse_187|False
352|megapet_105|bibita_224|True
353|megapet_105|miscota_332|False
354|megapet_105|bibita_396|True
355|megapet_105|bigdogworld_024|False
356|cheshirepetsupplies_114|miscota_028|True
357|cheshirepetsupplies_115|miscota_030|True
358|cheshirepetsupplies_064|miscota_160|True
359|miscota_160|mypetwarehouse_095|True
360|bibita_390|mypetwarehouse_118|True
361|miscota_295|mypetwarehouse_118|True
362|bibita_051|megapet_070|True
363|bibita_029|megapet_059|True
364|miscota_045|mypetwarehouse_189|False
365|bigdogworld_024|miscota_332|True
366|bibita_068|cheshirepetsupplies_011|True
367|bibita_308|cheshirepetsupplies_011|True
368|miscota_001|mypetwarehouse_195|False
369|miscota_001|bibita_226|True
370|bigdogworld_029|mypetwarehouse_196|False
371|bigdogworld_029|mypetwarehouse_197|False
372|bibita_144|cheshirepetsupplies_082|False
373|bibita_144|ROYAL CANIN MINI ADULT DOG FOOD 8KG|False
374|miscota_294|megapet_080|False
375|miscota_294|bibita_220|True
376|miscota_294|cheshirepetsupplies_046|True
377|miscota_294|mypetwarehouse_118|True
378|megapet_080|cheshirepetsupplies_082|False
379|megapet_080|bibita_144|False
380|megapet_080|mypetwarehouse_124|False
381|megapet_108|mypetwarehouse_189|True
382|megapet_108|bigdogworld_026|True
383|megapet_108|bibita_151|True
384|bibita_222|megapet_108|True
385|bibita_222|mypetwarehouse_190|True
386|bibita_222|miscota_044|True
387|mypetwarehouse_191|bigdogworld_026|True
388|mypetwarehouse_191|bibita_151|True
389|mypetwarehouse_191|megapet_107|True
390|mypetwarehouse_191|miscota_045|False
391|mypetwarehouse_087|bibita_376|False
392|mypetwarehouse_087|miscota_239|False
393|bibita_376|mypetwarehouse_071|False
394|bibita_376|cheshirepetsupplies_028|False
395|bibita_376|bibita_053|False
396|cheshirepetsupplies_028|megapet_088|False
397|cheshirepetsupplies_028|mypetwarehouse_164|False
398|cheshirepetsupplies_028|miscota_239|False
399|cheshirepetsupplies_028|bibita_136|False
400|megapet_088|bibita_053|False
401|megapet_088|miscota_116|False
402|miscota_164|cheshirepetsupplies_060|True
403|miscota_164|bigdogworld_009|True
404|miscota_164|megapet_057|True
405|miscota_164|bibita_028|True
406|miscota_165|cheshirepetsupplies_061|True
407|miscota_165|megapet_058|True
408|miscota_165|mypetwarehouse_088|False
409|bibita_268|cheshirepetsupplies_060|True
410|bibita_268|bigdogworld_009|True
411|bibita_268|cheshirepetsupplies_061|True
412|bigdogworld_020|mypetwarehouse_175|False
413|bigdogworld_020|miscota_327|False
414|bigdogworld_020|megapet_101|False
415|bigdogworld_020|bibita_145|False
416|mypetwarehouse_175|bibita_356|False
417|mypetwarehouse_175|megapet_098|False
418|mypetwarehouse_175|miscota_009|False
419|petsupplies_127|countrymax_032|False
420|petnutritioncenter_221|mypetwarehouse_165|True
421|countrymax_039|petsupplies_050|False
422|countrymax_039|petfood_012|False
423|countrymax_039|dog_016|False
424|countrymax_039|speckspets_011|False
425|cheshirepetsupplies_008|miscota_131|False
426|bibita_155|miscota_131|False
427|miscota_142|miscota_131|False
428|cheshirepetsupplies_008|bibita_075|False
429|bibita_155|bibita_075|False
430|miscota_142|bibita_075|False
431|cheshirepetsupplies_089|miscota_102|True
432|mypetwarehouse_159|miscota_102|True
433|megapet_082|miscota_102|False
434|miscota_103|miscota_102|True
435|cheshirepetsupplies_089|miscota_104|True
436|mypetwarehouse_159|miscota_104|True
437|megapet_082|miscota_104|False
438|miscota_103|miscota_104|True
439|bigdogworld_002|bibita_272|True
440|bibita_032|bibita_272|True
441|mypetwarehouse_077|bibita_272|True
442|megapet_052|bibita_272|True
443|bigdogworld_007|bibita_274|True
444|bibita_034|bibita_274|True
445|megapet_054|bibita_274|True
446|mypetwarehouse_083|bibita_274|True
447|megapet_102|megapet_103|True
448|bigdogworld_023|megapet_103|False
449|bibita_343|megapet_103|True
450|mypetwarehouse_180|megapet_103|True
451|megapet_102|bibita_103|True
452|bigdogworld_023|bibita_103|True
453|bibita_343|bibita_103|True
454|mypetwarehouse_180|bibita_103|True
455|bigdogworld_010|bibita_269|True
456|bibita_029|bibita_269|True
457|mypetwarehouse_089|bibita_269|True
458|megapet_059|bibita_269|True
459|mypetwarehouse_156|miscota_149|True
460|cheshirepetsupplies_085|miscota_149|True
461|miscota_147|miscota_149|True
462|megapet_095|bibita_199|False
463|mypetwarehouse_156|bibita_199|True
464|cheshirepetsupplies_085|bibita_199|True
465|miscota_147|bibita_199|True
466|megapet_076|miscota_014|True
467|miscota_016|mypetwarehouse_111|True
468|mypetwarehouse_113|megapet_077|True
469|megapet_065|miscota_163|True
470|cheshirepetsupplies_064|miscota_163|True
471|mypetwarehouse_095|miscota_163|True
472|bibita_278|bibita_315|False
473|cheshirepetsupplies_114|concordpetfoods_002|False
474|cheshirepetsupplies_115|concordpetfoods_002|False
475|miscota_028|miscota_044|False
476|miscota_030|miscota_044|False
477|bibita_075|bibita_084|False
478|bibita_155|bibita_163|False
479|bibita_315|bibita_324|False
480|cheshirepetsupplies_008|cheshirepetsupplies_075|False
481|miscota_131|miscota_147|False
482|miscota_142|miscota_196|False
483|bibita_115|bibita_118|False
484|bibita_195|bibita_199|False
485|bibita_197|bibita_199|False
486|bibita_355|bibita_364|False
487|bibita_360|bibita_364|False
488|horseandhound_127|miscota_001|False
489|roguevalleypet_038|speckspets_006|False
490|petsupplies_127|roguevalleypet_037|False
491|petsupplies_050|roguevalleypet_041|False
492|petco_065|petsupplies_002|False
493|bibita_034|bibita_068|False
494|bibita_274|bibita_308|False
495|bigdogworld_007|bigdogworld_020|False
496|megapet_054|miscota_001|False
497|mypetwarehouse_083|mypetwarehouse_165|False
498|healthypetcenter_298|miscota_001|False
499|petnutritioncenter_214|speckspets_010|False
